year,month,Allan Gray Balanced Fund,Benchmark,Allan Gray Balanced Fund (Adjusted),Benchmark (Adjusted)
10 Years,,178.0,129.8,56.3,29.2
Annualised,,10.8,8.7,4.6,2.6
2007,9,10.0,10.0,10.0,10.0
2007,10,10.2,10.4,10.2,10.3
2007,11,10.4,10.1,10.3,10.0
2007,12,10.2,10.0,10.0,9.8
2008,1,9.8,9.5,9.5,9.2
2008,2,10.4,10.1,9.9,9.7
2008,3,10.5,10.0,9.9,9.4
2008,4,10.5,10.1,9.8,9.4
2008,5,10.6,10.2,9.9,9.5
2008,6,10.1,9.8,9.2,9.0
2008,7,9.9,9.6,9.0,8.7
2008,8,10.0,9.8,9.0,8.8
2008,9,9.8,9.3,8.8,8.3
2008,10,9.7,8.8,8.7,7.9
2008,11,9.8,8.8,8.7,7.9
2008,12,10.1,9.0,9.0,8.1
2009,1,10.2,8.9,9.1,7.9
2009,2,9.5,8.4,8.4,7.4
2009,3,9.8,8.7,8.5,7.6
2009,4,9.6,8.8,8.3,7.6
2009,5,10.3,9.2,8.9,7.9
2009,6,10.1,9.1,8.7,7.8
2009,7,10.6,9.7,9.0,8.2
2009,8,11.0,9.9,9.3,8.4
2009,9,11.0,10.0,9.2,8.4
2009,10,11.4,10.3,9.6,8.7
2009,11,11.4,10.3,9.6,8.7
2009,12,11.5,10.5,9.6,8.8
2010,1,11.5,10.4,9.6,8.7
2010,2,11.5,10.5,9.6,8.7
2010,3,11.7,10.8,9.7,9.0
2010,4,11.9,10.9,9.8,9.0
2010,5,11.7,10.6,9.7,8.7
2010,6,11.7,10.5,9.6,8.7
2010,7,11.9,10.9,9.7,8.9
2010,8,11.8,10.8,9.7,8.8
2010,9,12.2,11.3,10.0,9.2
2010,10,12.3,11.5,10.0,9.4
2010,11,12.4,11.5,10.1,9.4
2010,12,12.7,11.8,10.3,9.6
2011,1,12.8,11.8,10.4,9.6
2011,2,13.0,11.9,10.4,9.6
2011,3,13.0,11.9,10.3,9.5
2011,4,13.1,12.1,10.4,9.6
2011,5,13.2,12.1,10.4,9.6
2011,6,13.0,12.0,10.2,9.4
2011,7,13.0,11.9,10.1,9.3
2011,8,13.2,12.0,10.3,9.3
2011,9,13.5,12.0,10.4,9.2
2011,10,14.1,12.5,10.9,9.6
2011,11,14.2,12.5,10.9,9.6
2011,12,14.2,12.6,10.8,9.6
2012,1,14.4,12.9,11.0,9.8
2012,2,14.4,13.0,10.9,9.9
2012,3,14.6,13.1,10.9,9.8
2012,4,14.6,13.3,10.9,9.9
2012,5,14.7,13.2,11.0,9.8
2012,6,14.8,13.2,11.0,9.8
2012,7,15.0,13.5,11.1,10.0
2012,8,15.3,13.8,11.3,10.2
2012,9,15.4,14.0,11.3,10.2
2012,10,15.8,14.3,11.5,10.5
2012,11,16.0,14.6,11.6,10.6
2012,12,16.0,14.7,11.6,10.7
2013,1,16.8,15.3,12.2,11.1
2013,2,16.8,15.2,12.0,10.9
2013,3,17.3,15.5,12.3,11.0
2013,4,17.2,15.4,12.1,10.8
2013,5,18.5,16.3,13.0,11.5
2013,6,17.7,15.7,12.5,11.1
2013,7,18.2,16.1,12.7,11.3
2013,8,18.6,16.4,12.9,11.4
2013,9,18.9,17.0,13.1,11.7
2013,10,19.4,17.3,13.4,12.0
2013,11,19.4,17.3,13.4,11.9
2013,12,19.9,17.7,13.7,12.2
2014,1,20.0,17.6,13.7,12.0
2014,2,20.3,17.9,13.7,12.1
2014,3,20.6,18.1,13.7,12.1
2014,4,20.9,18.3,13.9,12.2
2014,5,21.3,18.6,14.1,12.3
2014,6,21.6,18.9,14.3,12.5
2014,7,21.8,19.0,14.3,12.4
2014,8,21.8,18.9,14.2,12.4
2014,9,21.9,18.9,14.3,12.3
2014,10,21.5,18.9,14.0,12.3
2014,11,21.6,19.2,14.1,12.5
2014,12,21.6,19.3,14.1,12.6
2015,1,22.2,19.7,14.5,12.9
2015,2,22.4,20.1,14.6,13.1
2015,3,22.3,20.1,14.3,12.9
2015,4,23.0,20.6,14.6,13.1
2015,5,22.7,20.4,14.4,12.9
2015,6,22.4,20.1,14.2,12.7
2015,7,22.8,20.4,14.2,12.7
2015,8,22.7,20.2,14.2,12.6
2015,9,22.7,20.0,14.2,12.5
2015,10,24.0,21.1,15.0,13.1
2015,11,23.8,20.9,14.8,13.0
2015,12,24.3,20.9,15.1,13.0
2016,1,24.2,20.4,14.9,12.6
2016,2,24.8,20.6,15.0,12.5
2016,3,25.4,21.3,15.3,12.8
2016,4,25.7,21.4,15.4,12.8
2016,5,26.6,22.0,15.9,13.2
2016,6,25.8,21.4,15.3,12.7
2016,7,25.9,21.6,15.3,12.7
2016,8,26.4,21.9,15.6,12.9
2016,9,26.3,21.5,15.5,12.7
2016,10,25.7,21.0,15.0,12.3
2016,11,25.8,21.1,15.0,12.3
2016,12,25.8,21.2,15.0,12.3
2017,1,26.3,21.6,15.2,12.5
2017,2,26.0,21.5,14.9,12.3
2017,3,26.5,21.8,15.1,12.4
2017,4,27.0,22.3,15.3,12.6
2017,5,27.0,22.3,15.3,12.6
2017,6,26.6,21.9,15.0,12.4
2017,7,27.5,22.6,15.5,12.7
2017,8,27.6,22.8,15.5,12.8
2017,9,27.8,23.0,15.6,12.9
